Metric,Excel Value,Python Value,Absolute Delta,Relative Delta,Tolerance,Status,Probable Cause,Timestamp
Availability,0.8125,0.8125,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
CPU,14713.037495700037,14713.037495700037,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Economic Intensity,14713.037495700037,14713.037495700037,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Energy Cost,25300.0,25300.0,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Energy Intensity,1424.1486068111456,1424.1486068111456,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
FPY,0.75,0.75,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Final Yield,0.85,0.85,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Mass Intensity,,,,,1e-09,NOT_COMPUTABLE,Excel value is unavailable,2026-09-14T08:16:12.931028+00:00
Monthly Depreciation,777777.7777777779,777777.7777777779,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
OEE,0.59375,0.59375,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Performance,0.9743589743589743,0.9743589743589743,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Quality,0.75,0.75,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Raw Material Cost Proxy,2972.136222910217,2972.136222910217,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
TEEP,0.3958333333333333,0.3958333333333333,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
TTM Penalty Assignment,0.26285941114120437,0.26285941114120437,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
TTM Penalty CSV,0.2803468358172122,0.2803468358172122,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Total Manufacturing Cost,1188077.777777778,1188077.777777778,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
Utilization,0.6666666666666666,0.6666666666666666,0.0,0.0,1e-09,PASS,,2026-09-14T08:16:12.931028+00:00
