Parameter_Name,Value,Unit,Group
Calendar_Hours,720.0,hours,Time
Planned_Hours,480.0,hours,Time
Actual_Hours,390.0,hours,Time
Target_Output,120.0,L,Volume
Actual_Output,95.0,L,Volume
First_Pass_Good_Units,38.0,L,Volume
Final_Good_Units,80.75,L,Volume
Raw_Material_Cost,240000.0,USD,OPEX
Energy_kWh,115000.0,kWh,OPEX
Energy_Cost_Rate,0.66,USD/kWh,OPEX
Equipment_CAPEX,28000000.0,USD,CAPEX
Amortization_Years_Economic,3.0,years,CAPEX
OPEX_Overhead,145000.0,USD/month,OPEX
Delay_Years,0.5,years,TTM
Discount_Rate,0.12,ratio,TTM
Price_Erosion_Rate,0.18,ratio,TTM
Market_Horizon,3.0,years,TTM
Market_Window_Open,1.0,binary,TTM
